frame,tag0_x,tag0_y,tag1_x,tag1_y,tag2_x,tag2_y,tag3_x,tag3_y,car_x_mm,car_y_mm,car_x_px,car_y_px,Car_1_x,Car_1_y,Car_1_w,Car_1_h,Car_2_x,Car_2_y,Car_2_w,Car_2_h
0,649.9784730367293,1408.1671678842727,1353.5284063324889,707.0676825940174,163.20479932844395,147.04797902955906,805.7228878165695,821.399119758455,514.2,474.0,1029.7,484.3,643,234,179,181,1011,614,141,104
1,649.804630130767,1408.0334828123282,1353.4129166961409,706.9735941678988,163.21431877913065,147.09225934897512,805.7864197631415,821.5022894774165,514.0,474.1,1029.6,484.4,643,234,179,181,1011,615,141,103
2,649.9765920058966,1408.0637866911943,1353.3235175379057,706.9503195867052,163.39982652735566,147.45795121034203,805.9737054939326,821.7110846022784,514.0,474.5,1029.6,484.6,643,234,179,181,1011,615,141,103
3,649.4953067456607,1407.7471212261084,1353.115462130911,706.8373452310552,163.48817968486847,147.6454846709276,806.1938869756632,821.9276317118206,513.6,474.8,1029.3,484.8,666,234,156,181,1011,615,141,103
4,649.5545970849221,1407.69600898585,1353.0587022077218,706.5775418862066,163.54199485790954,147.82708570447792,806.4397995977987,822.1604855384293,513.5,475.0,1029.2,485.0,666,234,156,182,1011,615,141,103
5,649.7645781493877,1407.7940418799474,1353.0429653694973,706.5217596761205,163.92079184360915,148.05849280152492,806.7318334200558,822.300727607939,513.6,475.4,1029.3,485.3,666,235,156,180,1011,615,141,104
6,649.7894444255951,1407.8055928312126,1353.0287576002763,706.3963182766897,164.21022432041852,148.20145192631526,806.9779042349263,822.563513104376,513.6,475.8,1029.3,485.5,666,235,156,180,1011,608,141,111
7,649.6461722636581,1408.040267078892,1353.1779543572059,706.4520632256948,164.25038591424354,148.6123210871704,807.3118903843763,822.8701423523175,513.7,476.2,1029.3,485.8,643,235,179,181,1011,609,141,110
8,649.6483407808014,1408.1898083642395,1353.248543901359,706.3052661921828,164.6699944187528,148.82835068909583,807.7825634538497,823.3147416137318,513.7,476.8,1029.3,486.1,666,235,156,181,1011,616,141,104
9,649.8816944832271,1408.2450674251018,1353.59883922163,706.4223493236201,165.05883939510986,149.0880877618679,808.1467683058123,823.5931530152507,514.0,477.3,1029.5,486.5,677,235,145,181,1011,617,141,103
10,649.8584468096669,1408.471249617256,1353.7939626057703,706.4785084078786,165.04295291434812,149.2444130037889,808.466566812974,823.9038066375587,514.1,477.6,1029.7,486.7,643,236,180,181,1011,610,142,110
11,650.1685866139316,1408.7774285668097,1353.9741289400379,706.6897796124763,165.13087925918072,149.4388156092797,808.6187387020246,824.1295327944789,514.5,477.9,1029.9,486.8,643,236,180,181,1012,610,141,110
12,650.2977569234712,1408.7450841455068,1354.114649924207,706.6949960428586,165.1702910564854,149.37483621191484,808.7430986372152,824.1167954269426,514.6,477.9,1030.0,486.9,643,236,180,181,1012,610,141,110
13,650.1993259893328,1408.7716387962919,1353.9439855890096,706.6404660395664,165.0428625622264,149.4304602138391,808.6206124304995,824.1413334519557,514.5,477.9,1029.9,486.8,643,236,180,181,1011,610,142,118
14,650.180919551744,1408.4506285089012,1353.7736070736125,706.562875382439,164.96891766528378,149.47334387988386,808.5747202572968,824.1570187883829,514.3,477.8,1029.7,486.8,643,236,180,181,1011,610,142,110
